matière,questions,Réponse 1,Réponse 2,Réponse 3,Réponse 4,bonne réponse
geographie,Lequel de ces pays n'est pas border par le lac Léman ?,La Suisse,L'Italie,La France,L'Allemagne,2
geographie,Quel pays ne partage pas de frontière avec le Brésil ?,Le Pérou,Le Chili,L'Argentine,L'Uruguay,2
geographie,Quel est la capitale de Chypre ?,Damas,Sofia,Nicosie,Doha,3
geographie,Qand quelle ville des Etats-Unis trouve-t-on Central-Park ?,New York,San Francisco,Los Angeles,Washington,1
geographie,Lequel de ces pays ne se situe pas en Afrique ?,L'Egypte,Le Maroc,La Tunisie,La Turquie,4
geographie,Comment appelle-t-on les habitants de Tokyo ?,Les Tokyotes,Les Tokyotiens,Les Tokyois,Les Tokais,1
geographie,Combien de régions compte la France ?,22,18,25,16,2
anglais,Conjugue le verbe dans la phrase 'She (go) to school',goes,go,gone,going,2
anglais,Conjugue le verbe dans la phrase 'He (watch) television in the evening', watched,watching,watch,watches,4
anglais,Conjugue le verbe dans la phrase 'They (play) football',play,played,plays,playing,1
anglais,Comment dit-on 'un crayon' en anglais ?,pen,pencil,rules,glue,2
anglais,Comment dit-on 'Bonjour' le matin,Hello,Good evening,Good afternoon,Good morning,4
anglais,Comment dit-on 'Vendredi' en anglais ?,Monday,Wednesday,Friday,Saturday,3
anglais,Comment dit-on 'Avril' en anglais ?,February,January,May,April,4
anglais,Mettre la phrase 'The buses are coming' au singulier,The bus is coming,The buses is coming,The bus are coming,La phrase est déjà au singulier,1
anglais,Quel est le pluriel de 'Cat' ?,Cats,Kittens,Kitten,Cates,1
anglais,Que veux dire le verbe 'To be' ?,Avoir,Etre,Faire,Devoir,2
art,Quelles sont les couleurs primaires ?,Jaune-Violet-Blanc,Rouge-Turquoise-Violet,Bleu-Jaune-Rouge,Vert-Rose-Orange,3
art,Quelles sont les couleurs secondaires ?,Vert-Bleu-Rose,Rose-Vert-Violet,Violet-Orange-Vert,Bleu-Jaune-Rouge,3
art,Quelles sont les couleurs complémentaires de Bleu-Rouge-Jaune ?,Orange-Vert-Violet,Blanc-Rose-Noir,Violet-Orange-Vert,Il n'y en a pas,1
art,Que donnent toutes les couleurs physiques mélangées ?,Noir,Blanc,Arc en ciel, Rose,1
art,Que donnent toutes les couleurs de lumières mélangées ?,Noir,Blanc,Arc en ciel,Rose,2
art,Que produisent les couleurs modifiées pas l'addition de noir ?,La ton dégradé,Le ton rabattu,Le ton monocrome,Le ton sombre,2
art,A quoi correspond une seul couleur ?,Le monochrome,Le ton rabattu,Le camïeu,Le plurichrome,1
art,Quelles sont les valeurs ou les non valeurs ?,Rouge et Vert,Jaune et Bleu,Vert et Noir,Noir et Blanc,4
art,Qui a peint la Jaconde ?,Pablo Picasso,Salvador Dali,Paul Klee,Léonard de Vinci,4
art,Qui a peint Guernica ?,Salvador Dali,Paul Klee,Léonard de Vinci,Pablo Picasso,4
sciences,Combien y a-t-il de planètes dans le système solaire ?,6,7,8,9,3
sciences,Quel est le satellite naturel de la Terre ?,Le Soleil,La Lune,Mars,Pluton,2
sciences,Le quel est le plus gros ?,La Terre,La Lune,Mars,Le Soleil,4
sciences,Dans quel sens circule le courant ?,Du + vers le -,Du - vers le +,Dans les deux sens,Cela dépens de la pile,1
sciences,Quel os fait partie du bras ?,Humérus,Tibia,Clavicule,Les côtes,1
sciences,Combien d'os comporte le corp humain ?,57,185,206,300,3
sciences,Quel organe permet de respirer ?,Le coeur,Le cerveau,Le foie,Les poumons,4
sciences,Quelle matière est conductrice ?,Le papier,Le métal,Le plastique,Le bois,2
sciences,Quelle matière est utilisée pour isoler les câbles éléctriques ?,Le caoutchouc,Le métal,Le papier,Le bois,1
sciences,Combien de temps met la Terre à faire le tour du Soleil ?,60 Minutes,1 Jour,1 An,1 Semaine,3
final,Si je coupe un gâteau en 4 et que je prend 2 parts alors j'ai pris,1/4,1/2,1/3,3/4,2
final,Un mouton possède 4 pattes et j'ai 4 moutons : combien y a-t-il de pattes ?,16,32,24,12,1
final,Lorsque nous sommes le premier du mois (Friday 1 december) que dois-je mettre après le 1 ?,nd,rd,st,th,3
final,Quelle est la traduction de : The cat is eating ?,Le chat mange,La chat mangeais,Les chats mangent,Le chien mange,3
final,Quel est la capital de l'Italie ?,Paris,Madrid,Toronto,Rome,4
final,Quel est le fleuve très connu d'Egypte ?,La seine,Le Nil,Le Yukon,Le Léna,2
final,Quel roi c'est fait couper la tête ?,Louis XVI,Louis XV,Louis XIII,Louis Vuiton,1
final,Que donne le verbe aimer au plus que parfait et à la 2ème personne du singulier ?,tu aimes,tu as aimé,tu aimas,tu avais aimé,4
final,Quel est l'os le plus dur du corps humain ?,L'humérus,Le tibia,Le cubitus,Le fémur,4
final,Qui a peint 'Le Cri' ?,Edvard Munch,Léonard de Vinci,Pablo Picasso,Salvador Dali,1
